ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600602.SH,19901219,365.7,384.0,365.7,384.0,1.0,383.0,38300.0,1160.0,443.0
600656.SH,19901219,2.6,2.6,2.6,2.6,1.0,1.6,160.0,50.0,13.0
600601.SH,19901219,185.3,185.3,185.3,185.3,1.0,184.3,18430.0,50.0,37.0
600602.SH,19901220,403.2,403.2,403.2,403.2,384.0,19.2,5.0,149.0,60.0
600656.SH,19901220,2.73,2.73,2.73,2.73,2.6,0.13,5.0,25.0,6.0
600652.SH,19901220,193.0,193.0,193.0,193.0,193.0,0.0,0.0,2.0,1.0
600601.SH,19901220,185.3,194.6,185.3,194.6,185.3,9.3,5.02,21.0,16.0
600656.SH,19901221,2.75,2.75,2.75,2.75,2.73,0.02,0.73,5.0,1.0
600602.SH,19901221,400.0,423.4,400.0,423.4,403.2,20.2,5.01,11.0,5.0
600654.SH,19901221,339.7,339.7,339.7,339.7,323.5,16.2,5.01,3.0,1.0
600651.SH,19901221,336.3,336.3,336.3,336.3,320.3,16.0,5.0,1.0,1.0
600601.SH,19901221,204.3,204.3,204.3,204.3,194.6,9.7,4.98,8.0,6.0
600656.SH,19901224,2.88,2.88,2.88,2.88,2.75,0.13,4.73,1.0,0.2
600602.SH,19901224,423.4,444.6,423.4,444.6,423.4,21.2,5.01,11.0,4.0
600654.SH,19901224,356.7,356.7,356.7,356.7,339.7,17.0,5.0,1.0,0.3
600651.SH,19901224,336.3,353.2,336.3,353.2,336.3,16.9,5.03,17.0,23.0
600601.SH,19901224,214.6,214.6,214.5,214.5,204.3,10.2,4.99,1.0,2.0
600656.SH,19901225,3.02,3.02,3.02,3.02,2.88,0.14,4.86,10.0,3.0
600602.SH,19901225,466.8,466.8,466.8,466.8,444.6,22.2,4.99,3.0,1.0
600654.SH,19901225,374.6,374.6,374.6,374.6,356.7,17.9,5.02,1.0,0.3
600651.SH,19901226,389.5,389.5,389.5,389.5,353.2,36.3,10.28,4.0,6.0
600602.SH,19901226,490.2,490.2,490.2,490.2,466.8,23.4,5.01,94.0,46.0
600601.SH,19901226,236.5,236.5,236.5,236.5,214.5,22.0,10.26,2.0,1.0
600651.SH,19901227,393.4,393.4,393.4,393.4,389.5,3.9,1.0,66.0,104.0
600651.SH,19901228,397.3,397.3,397.3,397.3,393.4,3.9,0.99,30.0,48.0
600602.SH,19901228,495.1,495.1,495.1,495.1,490.2,4.9,1.0,30.0,14.0
600654.SH,19901228,378.3,378.3,378.3,378.3,374.6,3.7,0.99,28.0,10.0
600652.SH,19901228,204.7,204.7,204.7,204.7,193.0,11.7,6.06,5.0,4.0
600601.SH,19901228,238.9,238.9,238.9,238.9,236.5,2.4,1.01,5.0,4.0
600651.SH,19901231,401.3,401.3,401.3,401.3,397.3,4.0,1.01,10.0,16.0
600602.SH,19901231,500.1,500.1,500.1,500.1,495.1,5.0,1.01,20.0,10.0
600654.SH,19901231,382.1,382.1,382.1,382.1,378.3,3.8,1.0,20.0,7.0
600652.SH,19901231,206.7,206.7,206.7,206.7,204.7,2.0,0.98,5.0,4.0
600601.SH,19901231,241.3,241.3,241.3,241.3,238.9,2.4,1.0,23.0,22.0
