ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
600656.SH,1991-01-02,3.05,3.05,3.05,3.05,3.02,0.03,0.99,20.0,6.0,2023-08-01
600651.SH,1991-01-02,405.3,405.3,405.3,405.3,401.3,4.0,1.0,10.0,0.021,2023-08-01
600602.SH,1991-01-02,505.1,505.1,505.1,505.1,500.1,5.0,1.0,36.0,0.036,2023-08-01
600654.SH,1991-01-02,385.9,385.9,385.9,385.9,382.1,3.8,0.99,10.0,3.0,2023-08-01
600652.SH,1991-01-02,208.8,208.8,208.8,208.8,206.7,2.1,1.02,5.0,4.0,2023-08-01
600601.SH,1991-01-02,243.7,243.7,243.7,243.7,241.3,2.4,0.99,10.0,9.0,2023-08-01
600656.SH,1991-01-03,3.09,3.09,3.09,3.09,3.05,0.04,1.31,10.0,3.0,2023-08-01
600651.SH,1991-01-03,409.4,409.4,409.4,409.4,405.3,4.1,1.01,12.0,0.024,2023-08-01
600602.SH,1991-01-03,510.2,510.2,510.2,510.2,505.1,5.1,1.01,61.0,0.061,2023-08-01
600654.SH,1991-01-03,389.8,389.8,389.8,389.8,385.9,3.9,1.01,21.0,8.0,2023-08-01
600601.SH,1991-01-03,246.1,246.1,246.1,246.1,243.7,2.4,0.98,27.0,26.0,2023-08-01
600656.SH,1991-01-04,3.12,3.12,3.12,3.12,3.09,0.03,0.97,10.0,3.0,2023-08-01
600651.SH,1991-01-04,413.5,413.5,413.5,413.5,409.4,4.1,1.0,35.0,0.07,2023-08-01
600602.SH,1991-01-04,515.3,515.3,515.3,515.3,510.2,5.1,1.0,223.0,0.223,2023-08-01
600654.SH,1991-01-04,393.7,393.7,393.7,393.7,389.8,3.9,1.0,100.0,39.0,2023-08-01
000005.SZ,1991-01-04,18.03,18.03,18.03,18.03,3.83,14.2,370.76,41.0,370.0,2023-08-01
600601.SH,1991-01-04,248.6,248.6,248.6,248.6,246.1,2.5,1.02,42.0,41.0,2023-08-01
600651.SH,1991-01-07,415.6,415.6,415.6,415.6,413.5,2.1,0.51,12.0,0.024,2023-08-01
600602.SH,1991-01-07,517.9,517.9,517.9,517.9,515.3,2.6,0.5,145.0,0.145,2023-08-01
600654.SH,1991-01-07,395.7,395.7,395.7,395.7,393.7,2.0,0.51,10.0,3.0,2023-08-01
600652.SH,1991-01-07,209.8,209.8,209.8,209.8,208.8,1.0,0.48,5.0,4.0,2023-08-01
000005.SZ,1991-01-07,17.85,17.85,17.85,17.85,17.94,-0.09,-0.5,21.0,187.0,2023-08-01
600601.SH,1991-01-07,249.8,249.8,249.8,249.8,248.6,1.2,0.48,30.0,30.0,2023-08-01
600653.SH,1991-01-08,329.5,329.5,329.5,329.5,327.9,1.6,0.49,10.0,0.01,2023-08-01
600651.SH,1991-01-08,417.7,417.7,417.7,417.7,415.6,2.1,0.51,228.0,0.457,2023-08-01
600602.SH,1991-01-08,520.5,520.5,520.5,520.5,517.9,2.6,0.5,2251.0,2.251,2023-08-01
600654.SH,1991-01-08,397.7,397.7,397.7,397.7,395.7,2.0,0.51,42.0,16.0,2023-08-01
600652.SH,1991-01-08,210.8,210.8,210.8,210.8,209.8,1.0,0.48,42.0,35.0,2023-08-01
600601.SH,1991-01-08,251.0,251.0,251.0,251.0,249.8,1.2,0.48,16.0,15.0,2023-08-01
600656.SH,1991-01-09,3.13,3.13,3.13,3.13,3.12,0.01,0.32,10.0,3.0,2023-08-01
600651.SH,1991-01-09,419.8,419.8,419.8,419.8,417.7,2.1,0.5,225.0,0.45,2023-08-01
600602.SH,1991-01-09,523.1,523.1,523.1,523.1,520.5,2.6,0.5,5244.0,5.244,2023-08-01
600654.SH,1991-01-09,399.7,399.7,399.7,399.7,397.7,2.0,0.5,26.0,10.0,2023-08-01
