security_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,data_date
002536.SZ,2015-06-02,55.48,9.267,9.6811,0.88,131.7589,125.5361,4.4318,3.2985,3.1145,0.311,0.311,9600.0,4605.055,4408.055,532608.0,255488.4514,2023-08-05
002365.SZ,2015-06-02,32.33,9.8234,11.1682,0.82,190.5823,168.0114,5.429,9.1822,9.1428,0.0928,0.0928,18700.0,14614.4475,12854.6987,604571.0,472485.0877,2023-08-05
601226.SH,2015-06-02,31.91,10.0642,10.0642,0.57,67.5719,67.1488,6.8754,3.9527,3.8703,,,77000.0,15000.0,15000.0,2457070.0,478650.0,2023-08-05
002206.SZ,2015-06-02,22.85,2.8346,4.5781,0.82,71.5603,62.8675,5.2214,4.4956,4.6146,0.9581,1.3065,44977.05,34288.99,21230.1171,1027725.5925,783503.4215,2023-08-05
300112.SZ,2015-06-02,28.75,12.0993,15.5356,1.41,312.253,315.4749,14.6352,21.1761,21.305,0.1468,,24820.125,12676.5591,9872.5956,713578.5938,364451.0741,2023-08-05
002104.SZ,2015-06-02,37.87,9.6749,12.2759,0.73,92.4358,88.4417,20.5895,17.4165,16.632,0.2447,0.2447,71320.0,54443.9408,42908.5808,2700888.4,2061792.0381,2023-08-05
002363.SZ,2015-06-02,36.22,6.4263,11.727,1.08,238.4065,217.9174,8.1299,8.7417,8.8104,0.138,0.138,29880.0,29866.9125,16366.9125,1082253.6,1081779.5708,2023-08-05
002415.SZ,2015-06-02,47.21,2.1551,5.7375,0.6,41.1765,38.2419,13.4399,11.1473,10.15,0.5228,1.3701,406912.8026,315047.1106,118334.6731,19210353.4107,14873374.0914,2023-08-05
600640.SH,2015-06-02,29.94,2.9463,8.3194,0.92,182.7552,201.4776,6.3131,6.7312,6.3479,0.1536,0.1536,53536.4544,53536.4544,18959.7212,1602881.4447,1602881.4447,2023-08-05
300016.SZ,2015-06-02,65.49,2.3379,2.9473,0.62,234.8293,223.053,32.5814,46.3109,42.6847,0.1528,0.0916,31112.9808,24856.3514,19716.5798,2037589.1126,1627842.4532,2023-08-05
300243.SZ,2015-06-02,30.89,4.3468,5.0008,0.46,182.9339,167.2734,14.9628,7.558,7.433,0.0,0.0647,20687.7552,13346.8128,11601.264,639044.7581,412283.0474,2023-08-05
000426.SZ,2015-06-02,17.16,6.1622,10.8368,0.82,63.3072,192.8287,3.706,8.8353,8.8349,0.1166,0.1166,59694.4528,48163.2726,27387.3629,1024356.81,826481.7578,2023-08-05
002334.SZ,2015-06-02,17.3,8.2486,8.8125,1.18,76.3973,77.0972,8.7,11.693,11.63,0.2875,0.4337,71501.674,50949.2919,47689.2317,1236978.9602,881422.7499,2023-08-05
600745.SH,2015-06-02,42.79,2.3238,6.0951,1.1,1224.2997,,8.0176,12.7422,13.5058,0.0,,48332.035,32737.4896,12481.1429,2068127.7777,1400837.18,2023-08-05
000777.SZ,2015-06-02,50.93,11.1598,16.0301,0.87,271.4513,268.0692,17.8761,18.7644,19.0818,0.1091,0.1091,38341.7593,38335.0922,26688.1743,1952745.8011,1952406.2457,2023-08-05
300208.SZ,2015-06-02,83.6,5.1669,6.4178,0.82,230.4805,146.0463,29.6265,37.6538,30.2169,0.0,,30197.0,28031.7424,22568.4295,2524469.2,2343453.6646,2023-08-05
600740.SH,2015-06-02,11.05,6.4379,8.377,0.7,428.0283,,3.0871,1.7041,1.8491,0.0,,76570.0,65683.2758,50478.7267,846098.5,725800.1976,2023-08-05
000811.SZ,2015-06-02,25.5,9.2823,17.2408,1.04,48.4069,43.714,6.1292,5.9516,5.7656,0.3922,0.3922,39459.7417,39458.9177,21244.3235,1006223.4134,1006202.4014,2023-08-05
002085.SZ,2015-06-02,70.13,1.401,3.1717,1.28,62.8687,60.1906,13.2123,4.9425,4.8456,0.713,0.713,39009.8968,37188.2868,16426.6549,2735764.0626,2608014.5533,2023-08-05
600999.SH,2015-06-02,32.28,2.0164,5.0087,0.64,48.6893,32.3119,4.3675,17.0404,12.5529,0.474,1.2949,580813.5529,480309.9829,193359.5718,18748661.4876,15504406.248,2023-08-05
300033.SZ,2015-06-02,109.01,9.4595,14.041,1.28,969.3702,477.9633,47.3528,220.6492,170.9328,0.0138,0.0367,53760.0,26199.8076,17650.9768,5860377.6,2856041.0265,2023-08-05
300430.SZ,2015-06-02,152.0,7.1945,7.1945,0.83,177.457,172.8565,16.2462,28.9265,28.0749,,,6080.0,1520.0,1520.0,924160.0,231040.0,2023-08-05
600674.SH,2015-06-02,28.17,2.8347,6.8568,1.15,17.8326,16.0957,3.9331,56.2256,57.3497,0.2333,0.2333,220107.024,220107.024,90994.7696,6200414.8661,6200414.8661,2023-08-05
603198.SH,2015-06-02,22.62,0.0215,0.0215,,37.192,37.192,4.9638,6.1157,6.1157,,,80000.0,8000.0,8000.0,1809600.0,180960.0,2023-08-05
002603.SZ,2015-06-02,29.03,4.4065,10.1477,1.05,92.2732,86.746,7.0753,11.1978,10.978,0.1724,0.3446,112678.0,88272.9142,38331.1512,3271042.34,2562562.6992,2023-08-05
002351.SZ,2015-06-02,47.36,4.2136,6.9307,0.86,150.5334,145.2653,8.5081,20.4336,21.2798,0.3801,0.4223,29400.0,13240.0575,8049.41,1392384.0,627049.1232,2023-08-05
300415.SZ,2015-06-02,68.87,16.7159,16.7159,0.78,108.6769,108.3686,11.7464,7.0327,6.9401,,0.6098,12000.0,3000.0,3000.0,826440.0,206610.0,2023-08-05
600579.SH,2015-06-02,21.94,7.7811,14.4992,1.21,136.4911,134.363,12.6183,10.4411,10.3543,0.0,,39207.0637,25560.0,13717.064,860202.9776,560786.4,2023-08-05
002658.SZ,2015-06-02,35.6,4.3935,5.1497,0.97,108.2962,103.5054,16.0757,29.0435,26.8092,0.1277,0.1915,60488.032,60488.032,51606.532,2153373.9392,2153373.9392,2023-08-05
600279.SH,2015-06-02,19.11,6.9129,14.9416,1.1,92.3661,93.3547,2.6979,4.658,4.3944,0.2712,0.3663,46197.2381,34209.2262,15827.3184,882829.2201,653738.3127,2023-08-05
600823.SH,2015-06-02,25.61,1.814,7.0217,1.27,15.8685,15.7618,1.8441,2.364,2.2887,0.5848,,117241.5338,117241.5338,30288.5864,3002555.6806,3002555.6806,2023-08-05
002682.SZ,2015-06-02,39.08,0.2141,0.2152,0.02,394.6744,394.2254,7.7212,3.594,3.6384,0.1791,0.3582,20800.0,14334.3077,14262.3077,812864.0,560184.7449,2023-08-05
600802.SH,2015-06-02,12.65,6.3498,10.0253,0.88,97.4378,,3.5948,2.3429,2.1286,0.1265,0.1265,38187.3666,38187.3666,24186.9626,483070.1875,483070.1875,2023-08-05
300194.SZ,2015-06-02,32.94,3.9374,6.3981,0.81,203.2294,241.7122,4.4444,20.7082,20.2528,0.3734,0.28,28199.9473,14980.2718,9218.9669,928906.2641,493450.1531,2023-08-05
300350.SZ,2015-06-02,148.28,4.847,4.847,1.51,416.9652,433.4091,29.7615,18.9073,17.2171,0.0472,0.0472,8667.0,2412.05,2412.05,1285142.76,357658.774,2023-08-05
000639.SZ,2015-06-02,19.6,5.1498,10.7463,1.4,62.8309,52.8432,5.8461,3.947,3.4914,0.7653,0.8418,37664.5668,37664.5668,18049.4806,738225.5093,738225.5093,2023-08-05
603456.SH,2015-06-02,80.05,3.7906,3.7906,0.98,124.7972,117.0732,10.5284,12.9317,12.5543,,0.2498,20778.0,5196.0,5196.0,1663278.9,415939.8,2023-08-05
000988.SZ,2015-06-02,26.11,9.0944,13.4447,1.38,138.2053,131.168,8.1642,9.8869,9.6134,0.0383,,89111.6632,89111.6632,60277.3964,2326705.5262,2326705.5262,2023-08-05
300152.SZ,2015-06-02,44.7,6.4476,9.539,1.27,251.4107,161.9914,7.2077,12.6059,11.0537,0.0678,0.0678,23760.0,23760.0,16060.0,1062072.0,1062072.0,2023-08-05
600302.SH,2015-06-02,17.88,5.492,9.4927,0.91,,,5.6732,7.7502,8.1877,,,34600.9804,34600.9804,20018.5152,618665.5296,618665.5296,2023-08-05
603025.SH,2015-06-02,62.58,26.8132,26.8132,1.62,127.7888,143.526,19.0651,42.1592,43.995,,,44700.0,5100.0,5100.0,2797326.0,319158.0,2023-08-05
600023.SH,2015-06-02,14.44,0.9791,0.9791,0.06,32.9279,32.5823,3.5871,4.4454,4.4058,0.9273,0.9273,1360068.9988,255425.7721,255425.7721,19639396.3427,3688348.1491,2023-08-05
600301.SH,2015-06-02,15.51,2.361,3.4721,1.07,,,,5.6729,7.6315,0.0,,23514.814,23514.814,15990.0082,364714.7651,364714.7651,2023-08-05
600170.SH,2015-06-02,14.11,3.1679,11.6828,0.86,47.3297,46.0806,4.5583,0.7378,0.7043,0.6619,1.7522,594321.4237,469020.2189,127179.936,8385875.2884,6617875.2887,2023-08-05
300288.SZ,2015-06-02,92.0,4.7991,7.7189,0.69,894.6989,890.0281,34.8307,256.2252,209.7962,0.0,,33794.1402,16318.8,10146.0,3109060.8984,1501329.6,2023-08-05
