security_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,data_date
000536.SZ,1994-12-15,4.37,5.2,4.3,5.16,4.37,0.79,18.08,53347.0,26038.658,2023-08-01
000001.SZ,1994-12-15,10.19,11.85,10.15,11.3,10.19,1.11,10.89,16733.0,18079.28,2023-08-01
600698.SH,1994-12-15,5.85,6.26,5.8,6.22,5.85,0.37,6.32,3490.0,2122.502,2023-08-01
600684.SH,1994-12-15,8.0,8.7,8.0,8.59,8.0,0.59,7.38,2968.0,2501.098,2023-08-01
600679.SH,1994-12-15,8.07,8.9,8.07,8.78,8.19,0.59,7.2,2142.0,1825.915,2023-08-01
600663.SH,1994-12-15,20.99,22.4,20.8,22.2,20.88,1.32,6.32,18095.0,39507.162,2023-08-01
600651.SH,1994-12-15,9.35,10.0,9.2,9.85,9.24,0.61,6.6,4923.0,4761.368,2023-08-01
000008.SZ,1994-12-15,5.51,6.3,5.51,6.22,5.7,0.52,9.12,4849.0,2935.978,2023-08-01
600855.SH,1994-12-15,3.18,3.58,3.18,3.44,3.21,0.23,7.17,2914.0,990.647,2023-08-01
600841.SH,1994-12-15,12.56,14.3,12.51,13.99,12.8,1.19,9.3,2733.0,3709.865,2023-08-01
600634.SH,1994-12-15,9.32,10.15,9.32,9.9,9.35,0.55,5.88,6186.0,6082.906,2023-08-01
600807.SH,1994-12-15,4.6,4.98,4.53,4.92,4.56,0.36,7.89,2443.0,1182.183,2023-08-01
600860.SH,1994-12-15,4.01,4.2,3.95,4.18,3.95,0.23,5.82,3518.0,1444.184,2023-08-01
600848.SH,1994-12-15,9.38,10.2,9.1,10.05,9.13,0.92,10.08,7846.0,7624.279,2023-08-01
600846.SH,1994-12-15,12.15,12.98,12.0,12.95,12.1,0.85,7.02,1579.0,1996.785,2023-08-01
600861.SH,1994-12-15,5.58,6.15,5.58,5.8,5.58,0.22,3.94,1796.0,1041.112,2023-08-01
600810.SH,1994-12-15,5.45,5.69,5.35,5.69,5.38,0.31,5.76,5040.0,2789.935,2023-08-01
600653.SH,1994-12-15,12.41,13.25,12.4,13.09,12.35,0.74,5.99,15869.0,20482.757,2023-08-01
600667.SH,1994-12-15,3.08,3.27,3.01,3.25,3.0,0.25,8.33,3672.0,1156.531,2023-08-01
600699.SH,1994-12-15,3.95,4.19,3.93,4.17,3.95,0.22,5.57,5059.0,2057.091,2023-08-01
600813.SH,1994-12-15,2.24,2.35,2.18,2.32,2.19,0.13,5.94,7042.0,1606.76,2023-08-01
600837.SH,1994-12-15,11.0,12.0,10.9,11.72,10.98,0.74,6.74,2416.0,2754.497,2023-08-01
600625.SH,1994-12-15,11.0,11.85,10.82,11.65,10.86,0.79,7.27,3297.0,3776.245,2023-08-01
600639.SH,1994-12-15,18.33,19.84,18.33,19.6,18.32,1.28,6.99,16377.0,31384.94,2023-08-01
600656.SH,1994-12-15,3.61,3.98,3.61,3.9,3.65,0.25,6.85,2886.0,1098.419,2023-08-01
600652.SH,1994-12-15,9.58,10.16,9.5,10.11,9.5,0.61,6.42,5903.0,5875.644,2023-08-01
600683.SH,1994-12-15,4.2,4.48,4.15,4.47,4.15,0.32,7.71,3183.0,1375.544,2023-08-01
600812.SH,1994-12-15,2.7,2.88,2.67,2.88,2.68,0.2,7.46,7885.0,2193.369,2023-08-01
600831.SH,1994-12-15,4.27,4.53,4.2,4.47,4.18,0.29,6.94,5642.0,2466.793,2023-08-01
600864.SH,1994-12-15,6.11,6.58,6.0,6.5,6.13,0.37,6.04,5413.0,3405.708,2023-08-01
600862.SH,1994-12-15,5.18,5.73,5.18,5.69,5.18,0.51,9.85,28682.0,15783.654,2023-08-01
600838.SH,1994-12-15,10.33,11.49,10.25,11.1,10.3,0.8,7.77,2468.0,2685.204,2023-08-01
600631.SH,1994-12-15,10.8,11.98,10.65,11.7,10.77,0.93,8.64,2135.0,2409.605,2023-08-01
600626.SH,1994-12-15,7.15,7.8,7.0,7.7,7.08,0.62,8.76,5814.0,4368.2,2023-08-01
600613.SH,1994-12-15,10.05,11.0,10.0,10.85,9.96,0.89,8.94,558.0,589.844,2023-08-01
600607.SH,1994-12-15,9.3,10.18,9.3,10.05,9.26,0.79,8.53,6721.0,6630.721,2023-08-01
600621.SH,1994-12-15,10.7,12.0,10.61,11.6,10.6,1.0,9.43,3006.0,3407.11,2023-08-01
600696.SH,1994-12-15,5.1,5.55,5.09,5.49,5.1,0.39,7.65,4549.0,2416.803,2023-08-01
600672.SH,1994-12-15,2.1,2.29,2.08,2.25,2.09,0.16,7.66,7130.0,1556.426,2023-08-01
600673.SH,1994-12-15,2.79,3.0,2.79,2.95,2.77,0.18,6.5,2219.0,645.556,2023-08-01
600865.SH,1994-12-15,6.3,6.66,6.2,6.62,6.23,0.39,6.26,5063.0,3271.881,2023-08-01
600814.SH,1994-12-15,5.95,6.48,5.95,6.39,5.98,0.41,6.86,3723.0,2306.781,2023-08-01
600811.SH,1994-12-15,7.38,8.09,7.38,8.05,7.42,0.63,8.49,4860.0,3803.138,2023-08-01
600685.SH,1994-12-15,3.08,3.35,3.06,3.3,3.06,0.24,7.84,8477.0,2714.318,2023-08-01
600666.SH,1994-12-15,7.72,8.4,7.7,8.3,7.72,0.58,7.51,7234.0,5819.358,2023-08-01
600632.SH,1994-12-15,10.53,11.5,10.52,11.35,10.59,0.76,7.18,2972.0,3297.179,2023-08-01
600640.SH,1994-12-15,14.85,16.0,14.85,15.75,14.84,0.91,6.13,1532.0,2384.03,2023-08-01
600620.SH,1994-12-15,12.0,12.95,11.95,12.5,11.83,0.67,5.66,1544.0,1910.606,2023-08-01
600606.SH,1994-12-15,7.85,8.84,7.75,8.59,7.83,0.76,9.71,11464.0,9478.527,2023-08-01
600800.SH,1994-12-15,5.9,6.47,5.9,6.3,5.94,0.36,6.06,1176.0,721.642,2023-08-01
600866.SH,1994-12-15,8.9,9.45,8.76,9.29,8.8,0.49,5.57,3966.0,3631.924,2023-08-01
600843.SH,1994-12-15,10.9,12.0,10.8,11.4,10.76,0.64,5.95,2784.0,3159.284,2023-08-01
600842.SH,1994-12-15,10.59,10.98,10.08,10.85,10.08,0.77,7.64,2185.0,2321.673,2023-08-01
